KwhPH,Type,Size,GOT,Dchange,Dmult,State,CostKwh,EER,Emult,Ftype,Fwatts
3,central,small,0.3,-19,1.6,Alabama,12.41,6,1.29,Handheld,10
4,central,medium,0.4,-18,1.54,Alaska,22.54,6.5,1.24,Table,40
5,central,large,0.5,-17,1.48,Arizona,13.16,7,1.18,Ceiling,50
0.45,window unit,small,0.1,-16,1.42,Arkansas,9.99,7.5,1.12,Tower,60
0.715,window unit,medium,0.125,-15,1.37,California,19.9,8,1.06,Box,100
1.25,window unit,large,0.2,-14,1.32,Colorado,12.28,8.5,1,,
1.5,mini split,small,0.5,-13,1.27,Connecticut,21.62,9,0.94,,
1.5,mini split,medium,0.5,-12,1.22,DC,13.21,9.5,0.88,,
1.5,mini split,large,0.5,-11,1.17,Delaware,12.05,10,0.82,,
,,,,-10,1.12,Florida,11.37,10.5,0.76,,
,,,,-9,1.08,Georgia,12.26,11,0.71,,
,,,,-8,1.04,Hawaii,32.76,11.5,0.64,,
,,,,-7,1,Idaho,10.58,12,0.59,,
,,,,-6,0.96,Illinois,12.56,,,,
,,,,-5,0.883,Indiana,12.02,,,,
,,,,-4,0.776,Iowa,13.81,,,,
,,,,-3,0.595,Kansas,11.56,,,,
,,,,-2,0.348,Kentucky,10.56,,,,
,,,,-1,0.121,Louisiana,9.37,,,,
,,,,0,0,Maine,16.16,,,,
,,,,1,0.121,Maryland,13.92,,,,
,,,,2,0.348,Massachusetts,21.11,,,,
,,,,3,0.595,Michigan,16.07,,,,
,,,,4,0.776,Minnesota,14.09,,,,
,,,,5,0.883,Mississippi,11.55,,,,
,,,,6,0.96,Missouri,13.23,,,,
,,,,7,1,Montana,11.85,,,,
,,,,8,1.04,Nebraska,11.31,,,,
,,,,9,1.08,Nevada,11.67,,,,
,,,,10,1.12,New Hampshire,19.63,,,,
,,,,11,1.17,New Jersey,15.64,,,,
,,,,12,1.22,New Mexico,13.37,,,,
,,,,13,1.27,New York,19.3,,,,
,,,,14,1.32,North Carolina,11.24,,,,
,,,,15,1.37,North Dakota,12.07,,,,
,,,,16,1.42,Ohio,12.64,,,,
,,,,17,1.48,Oklahoma,10.72,,,,
,,,,18,1.54,Oregon,11.02,,,,
,,,,19,1.6,Pennsylvania,14.38,,,,
,,,,20,1.67,Rhode Island,18.64,,,,
,,,,21,1.73,South Carolina,12.91,,,,
,,,,22,1.8,South Dakota,12.39,,,,
,,,,23,1.87,Tennessee,10.79,,,,
,,,,24,1.95,Texas,11.36,,,,
,,,,25,2.03,Utah,10.63,,,,
,,,,26,2.11,Vermont,18.5,,,,
,,,,27,2.19,,,,,,
,,,,28,2.28,,,,,,
,,,,29,2.37,,,,,,
,,,,30,2.46,,,,,,
,,,,31,2.67,,,,,,
,,,,32,2.77,,,,,,
,,,,33,2.88,,,,,,
,,,,34,3,,,,,,
,,,,35,3.12,,,,,,
,,,,36,3.24,,,,,,
,,,,37,3.37,,,,,,
,,,,38,3.51,,,,,,
,,,,39,3.65,,,,,,
,,,,40,3.79,,,,,,
,,,,41,3.95,,,,,,
,,,,42,4.1,,,,,,
,,,,43,4.27,,,,,,
,,,,44,4.44,,,,,,
,,,,45,4.62,,,,,,
,,,,46,4.8,,,,,,
,,,,47,4.99,,,,,,
,,,,48,5.19,,,,,,
,,,,49,5.4,,,,,,
,,,,50,5.62,,,,,,
,,,,51,5.84,,,,,,
,,,,52,6.07,,,,,,
,,,,53,6.32,,,,,,
,,,,54,6.57,,,,,,
,,,,55,6.83,,,,,,
,,,,56,7.11,,,,,,
,,,,57,7.39,,,,,,
,,,,58,7.69,,,,,,
,,,,59,7.99,,,,,,
,,,,60,8.31,,,,,,
,,,,61,8.65,,,,,,
,,,,62,8.99,,,,,,
,,,,63,9.35,,,,,,
,,,,64,9.73,,,,,,
,,,,65,10.12,,,,,,
,,,,66,10.52,,,,,,
,,,,67,10.94,,,,,,
,,,,68,11.38,,,,,,
,,,,69,11.83,,,,,,
,,,,70,12.31,,,,,,
,,,,71,12.8,,,,,,
,,,,72,13.31,,,,,,
,,,,73,13.84,,,,,,
,,,,74,14.4,,,,,,
,,,,75,14.97,,,,,,
,,,,76,15.57,,,,,,
,,,,77,16.19,,,,,,
,,,,78,16.84,,,,,,
,,,,79,17.52,,,,,,
,,,,80,18.22,,,,,,
,,,,81,18.95,,,,,,
,,,,82,19.7,,,,,,
,,,,83,20.49,,,,,,
,,,,84,21.31,,,,,,
,,,,85,22.16,,,,,,
,,,,86,23.05,,,,,,
,,,,87,23.97,,,,,,
,,,,88,24.93,,,,,,
,,,,89,25.93,,,,,,
,,,,90,26.97,,,,,,
,,,,91,28.04,,,,,,
,,,,92,29.17,,,,,,
,,,,93,30.33,,,,,,
,,,,94,31.55,,,,,,
,,,,95,32.81,,,,,,
,,,,96,34.12,,,,,,
,,,,97,35.48,,,,,,
,,,,98,36.9,,,,,,
,,,,99,38.38,,,,,,
,,,,100,39.91,,,,,,
,,,,101,41.51,,,,,,
